Feature ID,Domain,Phylum,Class,Order,Family,Genus,species
4a0b292ba716582f9af46694458c0b9b,Bacteria, Cyanobacteria, Cyanobacteriia, Chloroplast, Chloroplast, Chloroplast,Unassigned
c35f665bd95ab81a5ca34ee89524dba5,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,Unassigned,Unassigned
646c44f8d2a758f69454a6435e92f7a3,Bacteria, Cyanobacteria, Cyanobacteriia, Chloroplast, Chloroplast, Chloroplast,Unassigned
aace39f9fa88cb2a65051839068a4080,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Mitochondria, Arachis_hypogaea
02b4cbe5c2955ab2f66dc82cdf6dad64,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Aquabacterium,Unassigned
c227331f2924ec72f0a37730bca6fafd,Bacteria, Cyanobacteria, Cyanobacteriia, Chloroplast, Chloroplast, Chloroplast,Unassigned
f34cdcd73e535507d29c29b19d01f658,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Rhodoferax,Unassigned
b41ab00a0792349e98a0ac43416df5d0,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Mitochondria,Unassigned
6abc517aa40e9e7b9c652902fe04bb1a,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,Unassigned,Unassigned
b1513ff9543675dc54b3a66225b76d26,Bacteria, Cyanobacteria, Cyanobacteriia, Chloroplast, Chloroplast, Chloroplast,Unassigned
aed191bac0b1c3264208a084af848bed,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,Unassigned,Unassigned
12f0627b0f930aff1182481eb84cbc7d,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Aquabacterium,Unassigned
7f7c1f10036cfa98ac70e913f7bc7f6c,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae,Unassigned,Unassigned
c9470bfad647519bf9efecb03784504d,Bacteria, Cyanobacteria, Cyanobacteriia, Chloroplast, Chloroplast, Chloroplast,Unassigned
63afe8e6aac58bf0d670a82ca5bc574c,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae,Unassigned,Unassigned
653334c36340a20181971e05d9b4e110,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,Unassigned,Unassigned
59786a380d10830b9e9990260b401ee5,Bacteria, Myxococcota, Polyangia, Polyangiales, Sandaracinaceae, uncultured, Oryza_longistaminata
61d96b86c674ec6276984c9be7a81efc,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium,Unassigned
ffb33882941159e894a06b7eb78532fe,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Mitochondria, Silene_dioica
ad53576cccb4fb7af5597cb3f5168ab2,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,Unassigned,Unassigned
82dd5ef393a78d35d48c66ec1a83aee4,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Mitochondria, Arachis_hypogaea
580e75c13f8cc6db7dc8869acfe4f099,Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, Tolumonas, bacterium_YT0325
a5af4c19fb434687bdba6613efa366e7,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Methylophilaceae, Methylotenera, uncultured_bacterium
39986346b95627054f6d759b856ea132,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Unassigned
27af011f1ebcc0867bb168193e6a9d27,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,Unassigned,Unassigned
06781da4da384086f78677141984f85a,Bacteria, Cyanobacteria, Cyanobacteriia, Chloroplast, Chloroplast, Chloroplast,Unassigned
e4b8135f05ccabab75f1cfebc191d972,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium,Unassigned
e416d0916760d2fc17b616e2ac3ad855,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Methylophilaceae, Methylotenera,Unassigned
3610224a8e2b9898263cfc6d2c549858,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Mitochondria, Silene_dioica
dcf7dc488a8f9ee61e266a9192c6d51d,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Mitochondria,Unassigned
6c769cf8f5c8887c27d66ea4243fd0e5,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Mitochondria,Unassigned
bea2ea3352d5bbcea17433e9e4922e40,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,Unassigned,Unassigned
acccb7cec4d146864bc11d37da55dcd0,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Methylophilaceae, Methylotenera,Unassigned
5c5957978c9d0e736cc1e8bb2cfd6407,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,Unassigned,Unassigned
ae9ca4f1c89de2162ba1c4051d205315,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,Unassigned,Unassigned
6326363cc12189a386d6c9e5c711038d,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Asticcacaulis,Unassigned
3aa9dae20e6922a62cbf201212f093e4,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Mitochondria, Arachis_hypogaea
c130baecd35f08a8f79bdfbdc0abb6c0,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Unassigned
61f346372123097e63fd8a66a67b183a,Bacteria, Cyanobacteria, Cyanobacteriia, Chloroplast, Chloroplast, Chloroplast,Unassigned
f672aa3aea2d03f0b297739022e9b716,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, uncultured,Unassigned
15b82828060b9b02c9a40b58ce2a26d6,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,Unassigned,Unassigned
6945d94103ada823c2811f2b81c56ba0,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodobacter,Unassigned
cd93017c92a76a9ce9abbee5f54f88bb,Bacteria, Bacteroidota, Bacteroidia, Flavobacteriales, Flavobacteriaceae, Flavobacterium,Unassigned
1c2b8892a0d7f828d72808cd01cfd199,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Devosiaceae, Devosia,Unassigned
3b85f63ee1b4334e7623add0ca7a0b70,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium, uncultured_eubacterium
d5253e5c260e898b772e0a65100d497a,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,Unassigned,Unassigned
a738568b261166a672bdd2c51055fff7,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Rhodoferax,Unassigned
db91cf6e76d061e9b52e93a0e47607b7,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,Unassigned,Unassigned
